Gene	Chr	ABRF-ILMN-RIBO-A-1	ABRF-ILMN-RIBO-A-2	ABRF-ILMN-RIBO-A-3	ABRF-ILMN-RIBO-A-4	ABRF-ILMN-RIBO-B-1	ABRF-ILMN-RIBO-B-2	ABRF-ILMN-RIBO-B-3	ABRF-ILMN-RIBO-B-4	ABRF-ILMN-RNA-A-1	ABRF-ILMN-RNA-A-2	ABRF-ILMN-RNA-A-3	ABRF-ILMN-RNA-A-4	ABRF-ILMN-RNA-B-1	ABRF-ILMN-RNA-B-2	ABRF-ILMN-RNA-B-3	ABRF-ILMN-RNA-B-4
BET1L	chr11	183	222	99	92	254	375	173	142	2058	1592	977	1469	1061	1265	1706	899
BEX1	chrX	756	471	303	486	5322	6563	3431	3349	1706	2156	1765	2205	16621	16258	22041	15376
BEX2	chrX	135	85	78	90	2420	3065	1702	1626	453	425	380	513	8919	8729	11843	8331
BEX4	chrX	1808	1318	1155	1646	6434	7990	4531	4371	3535	4394	4357	5350	21543	19250	25677	20723
BEX5	chrX	40	49	32	34	1385	1844	1084	1050	134	174	180	166	4774	4623	6083	4775
BFAR	chr16	3922	2839	2160	2722	1257	1615	891	824	7423	8741	7457	9608	2118	2097	2879	2194
BFSP1	chr20	156	82	60	71	87	127	40	44	265	283	231	328	170	190	290	174
BFSP2	chr3	2	6	7	3	1	5	2	4	20	18	16	14	1	0	0	0
BGLAP	chr1	0	0	0	0	2	5	0	1	16	2	0	4	3	7	7	13
BGN	chrX	34	39	34	8	104	172	48	70	2251	1082	560	869	782	1144	1258	683
BHLHA15	chr7	0	0	0	0	0	0	0	0	16	4	2	2	0	2	0	0
BHLHA9	chr17	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	4
BHLHB9	chrX	351	240	267	419	3472	4349	2561	2513	514	713	672	810	5328	4667	6601	5223
BHLHE22	chr8	20	10	12	20	1560	1879	1122	1098	14	40	36	26	4092	3332	4628	3889
BHLHE23	chr20	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
BHLHE40	chr3	3695	2582	1868	2216	2484	3212	1723	1475	10884	11071	8387	12150	5839	5936	7651	5336
BHLHE41	chr12	1112	732	690	1011	5775	7092	4269	3863	1412	1880	2122	2170	12051	10360	14331	11429
BHMT	chr5	82	47	47	59	52	70	28	27	170	149	153	245	71	86	121	112
BHMT2	chr5	176	127	115	158	122	147	86	65	336	340	341	377	187	173	245	194
BICC1	chr10	2013	1360	1371	1831	514	621	391	337	1320	1726	1679	1976	473	385	559	453
BICD1	chr12	3363	2461	2119	3312	5947	7531	4673	4342	3023	3998	4080	4529	7520	6624	8974	7443
BICD2	chr9	2062	1513	1335	1974	1805	2280	1257	1186	3208	3710	3508	4192	3807	3688	4856	3575
BID	chr22	985	636	492	681	1642	2048	1204	1089	1868	1956	1707	2400	3702	3517	4573	3490
BIK	chr22	34	34	15	22	1	8	1	10	74	92	49	112	0	0	5	10
BIN1	chr2	88	50	48	18	1347	1910	955	841	715	374	180	268	4312	5905	6676	3389
BIN2	chr12	424	275	192	221	134	160	127	65	682	996	836	1161	205	170	215	188
BIN3	chr8	270	154	109	115	157	204	88	92	663	573	314	552	237	348	353	242
BIRC2	chr11	12461	8357	7948	12561	4917	5895	3641	3504	7725	11156	12034	13360	5748	5113	6882	5930
BIRC3	chr11	4575	3177	3125	4648	595	755	474	429	2238	3281	3585	3890	624	545	794	662
BIRC5	chr17	3491	2446	1879	2084	9	16	6	16	6842	6786	6453	7835	34	14	31	88
BIRC6	chr2	39099	26302	21781	29412	29046	34942	20897	19365	10788	14209	13937	16320	11493	10699	14256	11487
BIRC7	chr20	4	2	2	0	0	0	0	0	96	34	6	24	0	2	0	0
BIVM	chr13	2829	1905	1845	2652	1607	1874	1153	1125	2632	3839	4207	4768	2471	2222	2822	2399
BLCAP	chr20	1077	776	537	557	2984	3904	2068	1802	3184	3098	2454	3365	9451	9772	12734	8657
BLID	chr11	384	253	207	300	67	72	53	45	11	2	10	11	0	0	0	0
BLK	chr8	43	34	18	21	0	4	0	0	178	112	77	118	2	9	0	0
BLM	chr15	6270	4239	3707	5171	819	914	558	582	4220	5549	5926	6790	891	817	1132	982
BLMH	chr17	2842	1858	1457	1750	1073	1292	760	712	6114	7480	6894	8297	2306	2134	3200	2455
BLNK	chr10	305	213	182	239	190	202	132	134	400	490	471	646	205	197	259	215
BLOC1S1	chr12	60	55	25	24	94	127	55	43	440	278	158	250	318	460	486	280
BLOC1S2	chr10	1853	1309	1158	1586	2433	3205	1851	1813	2821	3928	4054	4497	6471	5570	7647	6363
BLOC1S3	chr19	56	48	24	16	85	144	56	72	483	388	260	366	380	431	561	338
BLVRA	chr7	1059	719	475	719	544	775	481	358	3063	3132	2790	3634	1595	1636	2259	1743
BLVRB	chr19	64	58	36	32	58	61	16	30	1069	418	193	346	177	275	283	179
BLZF1	chr1	3472	2399	2150	3361	2195	2613	1566	1489	2673	3714	4252	4554	2273	1998	2753	2407
BMF	chr15	247	184	116	135	73	101	43	46	799	734	644	763	117	113	194	137
BMI1	chr10	6791	4672	4490	6679	6301	7419	4694	4356	6053	9023	9354	11139	10734	9282	12423	10831
BMP1	chr8	120	94	53	33	116	140	63	59	1367	814	464	710	455	563	666	317
BMP10	chr2	4	10	8	5	0	0	0	0	10	8	13	4	0	0	0	0
BMP15	chrX	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0
BMP2	chr20	1086	770	716	973	218	280	180	146	1313	1592	1647	1968	429	308	549	450
BMP2K	chr4	3338	2288	1933	2728	2145	2441	1454	1439	1451	2064	1878	2172	889	820	1130	966
BMP3	chr4	16	8	2	5	175	212	80	121	2	6	2	14	130	101	172	136
BMP4	chr14	318	172	152	168	101	100	72	69	1182	970	908	1243	236	266	390	262
BMP5	chr6	1097	625	571	899	110	143	78	70	667	1061	1052	1304	110	149	168	125
BMP6	chr6	584	365	294	393	220	215	134	134	909	1075	970	1269	420	421	569	462
BMP7	chr20	430	314	179	184	673	891	444	454	1189	1066	747	1179	1843	1656	2096	1548
BMP8A	chr1	0	0	0	0	2	8	3	2	5	2	0	1	5	14	24	2
BMP8B	chr1	183	133	84	177	219	221	168	146	325	349	307	422	430	440	542	509
BMPER	chr7	217	164	130	218	1176	1435	820	819	307	366	274	404	1775	1832	2401	1861
BMPR1A	chr10	3485	2280	2080	2860	2063	2436	1608	1487	2127	2953	2898	3711	1495	1242	1928	1588
BMPR1B	chr4	139	90	100	121	3541	4111	2368	2284	85	110	150	147	2927	2558	3342	2616
BMPR2	chr2	9038	6170	5865	8981	24340	28460	17373	16248	4952	7290	7474	8653	20855	17582	24250	21211
BMS1	chr10	5031	3543	2512	3121	2853	3460	1996	1878	6783	7798	6689	8606	3055	3157	4125	3036
BMX	chrX	127	61	95	113	18	22	12	20	230	177	263	262	39	29	50	23
BNC1	chr15	90	88	61	52	24	16	20	15	136	172	128	128	35	28	62	19
BNC2	chr9	1921	1374	1233	1592	124	211	103	88	1097	1314	1389	1693	124	76	104	115
BNIP1	chr5	297	206	139	173	209	321	143	143	643	677	653	726	449	419	634	493
BNIP2	chr15	13683	9310	9401	13876	4404	5487	3396	3108	8578	12168	14163	14782	4001	3249	4714	4138
BNIP3	chr10	7098	5250	4662	6502	3249	4208	2368	2296	12407	16212	15855	18894	7713	7210	9541	7399
BNIP3L	chr8	22541	15684	15263	22779	13669	16470	9765	9422	22093	29466	31761	35972	21242	18463	25725	21632
BNIPL	chr1	85	59	45	60	77	93	53	41	174	190	134	164	62	60	97	37
BOC	chr3	71	51	22	22	280	357	178	131	157	128	58	113	293	385	413	251
BOD1	chr5	2048	1420	1080	1392	1077	1331	752	687	3941	4767	4331	5477	2602	2505	3139	2263
BOK	chr2	38	42	15	13	164	263	127	128	467	298	192	247	992	1196	1450	711
BOLA1	chr1	152	118	91	89	149	151	78	64	369	400	293	448	395	457	455	379
BOLA3	chr2	915	698	539	641	363	466	291	232	2079	2439	2380	2968	1176	1036	1342	1087
BOLL	chr2	91	54	78	112	22	25	18	8	2	20	19	25	6	0	4	0
BOP1	chr8	14	8	5	2	14	14	15	8	180	57	21	20	25	40	18	19
BORA	chr13	2262	1485	1419	1959	256	288	172	135	2042	2975	3041	3608	223	195	344	369
BPGM	chr7	1376	853	845	970	1058	1321	802	779	1965	2641	2662	3229	2666	2340	3232	2660
BPHL	chr6	671	469	346	439	365	500	251	230	1020	1006	934	1272	656	559	835	594
BPI	chr20	10	1	3	7	11	15	8	13	11	28	8	26	22	5	23	12
BPIFA1	chr20	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
BPIFA2	chr20	0	2	0	0	0	2	0	0	0	2	2	0	0	0	0	0
BPIFA3	chr20	5	0	0	4	2	2	2	0	0	0	0	0	0	0	0	0
BPIFB1	chr20	1	4	2	0	4	14	5	4	23	14	14	5	3	6	7	2
BPIFB2	chr20	69	76	41	40	0	2	0	0	1956	1249	702	1089	0	0	0	6
BPIFB3	chr20	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
BPIFB4	chr20	0	0	4	0	0	0	0	0	0	0	0	0	2	0	0	0
BPIFB6	chr20	6	0	0	0	0	0	0	0	8	2	2	6	0	0	0	0
BPIFC	chr22	6	2	2	1	0	2	0	1	0	2	2	0	0	2	2	0
BPNT1	chr1	1440	922	803	1083	744	929	609	593	2498	2869	2622	3287	1442	1313	1901	1426
BPTF	chr17	21543	14739	12908	17225	18895	22806	13564	12097	11773	14312	13825	16165	11018	10495	13557	10800
BPY2	chrY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BPY2C	chrY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BRAF	chr7	3886	2600	2100	2961	7376	8795	5449	4882	1434	1947	1894	2298	2446	2245	2770	2371
BRAP	chr12	1803	1294	945	1231	1578	2033	1239	1162	2091	2205	2360	2768	1749	1903	2362	1859
BRAT1	chr7	89	88	49	56	103	153	65	53	770	377	236	374	352	472	506	303
BRCA1	chr17	9595	6598	5618	8187	642	772	490	378	5964	7512	7904	9388	538	450	584	604
BRCA2	chr13	11050	7561	7227	11280	162	184	147	146	2271	3321	3589	4294	57	45	70	39
BRCC3	chrX	2454	1638	1402	2258	1166	1261	905	803	3056	3736	4109	5117	2019	1881	2510	2169
BRD1	chr22	1130	734	728	997	1001	1332	661	586	1865	1889	1703	2070	2069	2035	2592	1930
BRD2	chr6	5987	4142	2955	3467	4814	6237	3239	2942	15513	14992	11500	16000	12298	12878	16893	11351
BRD3	chr9	1721	1302	1052	1413	1343	1856	1052	918	3902	4118	3862	4967	3885	3659	4693	3671
BRD4	chr19	1151	790	579	812	1012	1550	808	719	3254	2907	2324	2903	2314	2719	3419	1997
BRD7	chr16	5131	3683	2921	3728	2439	3060	1745	1745	7598	10303	9721	11389	4961	4712	5637	4978
BRD8	chr5	3361	2359	1802	1977	3397	4320	2520	2104	6678	7529	6182	8106	6218	6223	8105	5895
BRD9	chr5	1708	1336	883	1130	917	1189	597	569	2797	2277	1815	2322	1669	1697	2080	1514
BRDT	chr1	4	5	1	3	14	19	9	14	3	0	8	6	23	29	26	33
BRF1	chr14	373	292	220	205	659	876	389	397	700	429	253	341	837	1029	1265	676
BRF2	chr8	63	68	31	19	109	151	61	55	230	148	94	181	195	184	261	172
BRI3	chr7	294	227	134	163	127	243	131	113	1710	1179	781	1271	774	851	1047	626
BRI3BP	chr12	4889	3556	3099	4330	4261	5218	3107	2780	4895	6349	6285	7193	5843	5334	7107	5876
BRIP1	chr17	10736	7281	6724	9686	93	128	97	71	4291	6076	6080	6944	92	78	96	94
BRIX1	chr5	6930	5057	4715	6590	1292	1552	837	859	7636	10852	11180	12500	2025	1610	2230	2029
BRK1	chr3	2890	1995	1421	1598	2142	2702	1448	1343	9716	11411	9884	13146	8136	8290	11303	8299
BRMS1	chr11	85	90	34	46	80	118	64	68	1091	623	296	556	307	421	464	237
BRMS1L	chr14	1256	779	847	1261	1634	1839	1185	1080	1767	2326	2634	2811	3643	3090	4028	3736
BROX	chr1	9067	6371	5852	9261	5531	6492	4068	3622	4858	6911	7545	8376	5134	4241	5712	5342
BRPF1	chr3	325	266	134	137	369	435	276	182	1438	977	630	1030	645	756	972	517
BRPF3	chr6	1013	687	562	650	1369	1883	998	859	2822	3016	2606	3182	3627	3866	4696	3543
BRS3	chrX	11	6	6	17	12	12	2	0	2	2	4	12	6	0	9	10
BRSK1	chr19	43	26	16	8	1097	1495	669	600	377	169	91	137	3955	5453	6265	2955
BRSK2	chr11	30	6	2	10	496	739	351	269	179	61	63	67	1819	2628	2907	1585
BRWD1	chr21	32365	21996	21207	31271	28524	33616	20646	19586	9342	13301	14442	16204	18636	15890	21923	18667
BRWD3	chrX	9271	6305	5759	8394	6260	7757	4526	4369	4069	6154	6848	7763	2829	2467	3461	2988
BSCL2	chr11	42	34	19	14	214	291	134	94	152	128	55	117	477	553	637	411
BSDC1	chr1	1405	1019	699	708	2431	3192	1723	1426	3369	3146	2269	3279	5840	6394	8215	5174
BSG	chr19	2480	1916	1524	1942	1365	1860	857	844	15007	8969	7499	9119	5310	6995	7458	4289
BSN	chr3	53	33	42	50	4296	6331	3038	2539	134	107	84	128	10528	12344	14921	8733
BSND	chr1	6	0	2	2	8	16	10	2	14	14	6	14	40	34	32	36
BSPH1	chr19	0	0	2	2	10	7	10	4	0	2	2	0	19	0	9	7
BSPRY	chr9	106	55	28	32	143	214	80	65	261	221	208	230	442	443	514	338
BST1	chr4	97	68	46	52	36	65	57	42	181	219	189	237	123	92	145	92
BST2	chr19	465	370	168	166	107	119	56	71	4364	2832	1911	2683	455	553	556	493
BSX	chr11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BTAF1	chr10	19430	12844	11426	15880	7506	9301	5639	5064	13107	17911	18361	21625	6583	5604	8008	6517
BTBD1	chr15	10022	6833	6663	9744	8661	10407	6576	6054	10027	13842	14474	16986	15751	13505	18044	15358
BTBD10	chr11	2125	1632	1379	1829	6779	8590	4671	4551	2263	3086	2966	3690	6995	6822	8956	7301
BTBD11	chr12	413	265	235	278	1122	1365	792	667	760	656	694	912	1736	1767	2436	1818
BTBD16	chr10	33	23	7	23	41	56	35	41	93	75	75	100	141	104	154	114
BTBD17	chr17	2	0	0	0	4	7	4	2	0	0	0	0	6	11	13	2
BTBD18	chr11	112	51	64	71	177	244	164	160	12	22	12	15	12	29	49	24
BTBD19	chr1	196	119	123	116	64	75	36	44	468	361	350	493	97	118	130	125
BTBD2	chr19	56	37	21	16	195	267	114	88	984	293	160	276	709	1186	1236	507
BTBD3	chr20	5652	3915	3383	4860	16326	19871	12025	11252	5638	7227	7283	9065	22651	20559	27332	22497
BTBD6	chr14	245	214	97	141	563	748	368	337	1188	1051	669	929	1887	2038	2418	1402
BTBD7	chr14	3840	2700	2203	3120	3913	4897	2935	2648	2928	3607	3705	4486	2298	2124	2831	2192
BTBD8	chr1	225	132	151	199	693	891	495	487	72	65	73	96	203	153	255	180
BTBD9	chr6	881	552	384	500	3123	4061	2329	2088	581	560	520	642	2713	2933	3600	2570
BTC	chr4	61	30	46	79	118	80	65	48	48	90	46	87	167	98	159	138
BTD	chr3	444	286	203	275	624	803	458	336	1259	1291	1046	1342	773	857	1054	689
BTF3	chr5	12883	9059	7168	9485	3075	3832	2248	1986	32219	38996	34986	45103	9927	8994	12473	9875
BTF3L4	chr1	7623	5407	5198	7816	4355	5041	3169	2924	7579	10726	11026	12873	7602	6244	8894	7296
BTG1	chr12	6434	4520	4056	6324	4812	5640	3361	3397	8526	11466	12099	13815	8691	7581	10107	8746
BTG2	chr1	1323	865	673	754	1350	1823	1046	894	3170	3907	3242	4586	3729	3717	4995	3667
BTG3	chr21	2881	2075	1896	2569	488	619	319	330	4839	6471	6434	7498	1206	1132	1499	1277
BTG4	chr11	0	1	4	1	4	4	8	4	4	0	2	0	8	2	9	5
BTK	chrX	695	450	348	333	158	199	136	94	1178	1535	1380	1711	179	141	239	233
BTLA	chr3	13	11	7	19	18	16	13	12	4	22	13	10	14	14	11	12
BTN1A1	chr6	13	9	10	0	12	16	10	7	4	14	8	18	6	3	24	9
BTN2A1	chr6	1002	758	546	564	1349	1727	990	861	2185	2431	1815	2594	2919	2802	3881	2626
BTN2A2	chr6	1608	1071	799	1006	688	955	490	451	2762	2789	2246	3040	1179	1094	1575	985
BTN3A1	chr6	1670	1197	939	1095	734	926	540	440	2818	3449	2821	3964	1602	1521	2053	1596
BTN3A2	chr6	1259	850	676	666	307	332	235	144	3289	3642	3256	4310	710	722	987	817
BTN3A3	chr6	1010	766	562	614	559	776	387	359	1558	1960	1755	2088	1219	1174	1541	1199
BTNL2	chr6	3	4	4	2	38	42	26	28	0	0	0	0	65	44	88	57
BTNL3	chr5	5	0	0	0	2	0	0	0	0	1	2	2	0	0	0	0
BTNL8	chr5	7	3	2	4	8	0	0	4	4	7	6	10	6	15	24	8
BTNL9	chr5	68	76	73	113	209	297	170	148	202	284	236	300	840	797	1047	812
BTRC	chr10	2393	1677	1458	1683	6378	7783	4507	4207	2590	3187	3255	3825	8390	8332	10688	8425
BUB1	chr2	11276	7804	6809	9978	26	50	30	30	11604	14840	14743	17643	65	42	49	135
BUB1B	chr15	7460	5240	4556	5839	78	77	43	54	8255	10678	10575	12278	65	48	71	108
BUB3	chr10	13200	9159	8504	12529	3573	4328	2718	2594	16542	22007	22721	26165	7124	6212	8683	7169
BUD13	chr11	966	650	440	431	609	745	442	355	2261	2390	1814	2499	1102	1103	1382	1043
BUD31	chr7	1685	1104	691	814	761	908	503	483	3362	3834	3691	4458	1956	1939	2416	2024
BVES	chr6	858	656	533	892	784	950	550	465	780	1057	1012	1211	1112	1022	1291	1139
BYSL	chr6	222	148	91	96	100	159	58	50	1596	1203	701	1257	267	353	468	316
BZW1	chr2	14810	10185	9346	13475	2842	3463	1996	1873	14178	19619	21074	24355	5059	4160	5838	4962
BZW2	chr7	6355	4539	3896	5199	939	1198	689	685	9749	11616	11025	13323	1818	1640	2256	1730
C10orf105	chr10	0	0	0	4	48	45	40	58	2	2	6	0	99	107	165	107
C10orf120	chr10	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
C10orf53	chr10	0	2	0	0	2	10	0	4	0	0	4	0	2	8	2	0
C10orf62	chr10	2	2	0	0	8	16	4	2	2	0	0	2	2	6	12	4
C10orf67	chr10	13	0	2	6	22	35	3	17	8	19	8	14	36	32	48	52
C10orf71	chr10	40	28	13	12	0	0	0	0	69	27	22	36	0	0	0	0
C10orf82	chr10	9	10	11	10	18	10	18	13	72	74	48	59	38	45	46	42
C10orf88	chr10	1264	941	782	1121	1096	1267	792	734	1279	1698	1730	2152	1826	1592	2296	1866
C10orf90	chr10	145	90	128	108	851	1254	650	689	234	257	303	365	937	889	1248	950
C10orf95	chr10	424	349	274	341	289	447	223	209	1283	1550	1429	1526	969	925	1225	957
C10orf99	chr10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
C11orf1	chr11	901	537	482	561	391	432	321	238	1857	2097	1972	2346	845	706	990	890
C11orf16	chr11	9	7	13	8	15	22	7	9	9	3	0	8	1	3	8	2
C11orf21	chr11	4	11	2	2	7	11	8	4	7	12	2	18	14	18	24	12
C11orf24	chr11	507	369	224	225	144	269	163	114	2163	1635	1286	1510	574	625	666	486
C11orf42	chr11	7	1	2	2	40	58	37	32	3	2	0	4	29	59	44	36
C11orf45	chr11	43	32	28	20	54	98	37	24	136	132	102	134	74	62	85	52
C11orf49	chr11	638	443	292	378	1269	1535	850	730	1250	1089	699	1055	2706	2798	3746	2323
C11orf52	chr11	2	0	2	5	11	17	6	5	1	4	1	0	3	7	4	6
C11orf53	chr11	3	2	4	2	0	0	0	2	0	0	0	0	0	0	2	0
C11orf54	chr11	3224	2345	1971	2893	2143	2578	1550	1456	3041	4038	3913	4742	2002	1957	2600	2238
C11orf58	chr11	11774	8220	7688	11072	7870	9213	5705	5311	13782	18440	20091	22266	13076	11210	14916	12737
C11orf65	chr11	520	302	304	412	187	221	116	124	145	168	193	245	75	60	87	57
C11orf68	chr11	83	66	31	25	215	312	156	139	1206	663	312	630	1253	1629	2112	1058
C11orf71	chr11	474	361	324	491	435	526	361	307	679	837	901	1084	899	694	1029	927
C11orf80	chr11	1413	1064	955	1256	1086	1294	804	791	1532	2006	1976	2444	1165	969	1422	981
C11orf86	chr11	8	18	4	2	0	0	1	0	104	54	54	54	0	0	0	0
C11orf87	chr11	38	22	16	28	5677	7055	4187	3794	20	36	24	10	8594	7266	10676	8515
C11orf88	chr11	7	8	10	16	15	28	10	2	2	13	6	20	36	32	19	22
C11orf91	chr11	0	1	0	0	0	0	0	3	2	0	0	0	1	1	3	0
C11orf94	chr11	2	1	0	0	3	4	0	3	5	4	0	4	2	3	2	1
C11orf95	chr11	938	680	535	703	1048	1187	777	593	1944	2054	1874	2234	2352	2318	3136	2170
C11orf96	chr11	8	5	6	0	74	101	30	45	43	34	17	36	263	320	382	185
C12orf29	chr12	3087	2194	2012	3279	2975	3677	2139	2029	2809	4029	4489	5026	4450	3932	5022	4754
C12orf4	chr12	2962	1980	1801	2643	2876	3262	1995	1794	2052	2841	3077	3450	2845	2561	3692	3161
C12orf40	chr12	87	97	48	69	55	76	36	50	8	9	2	12	12	0	6	1
C12orf42	chr12	26	14	18	20	19	18	19	8	10	13	4	13	2	17	2	21
C12orf43	chr12	50	58	14	17	70	69	40	39	83	61	43	74	89	99	132	67
C12orf45	chr12	857	555	516	688	387	434	268	282	962	1324	1131	1538	285	261	326	266
C12orf49	chr12	2051	1433	1189	1525	2160	2604	1565	1346	1678	2170	2192	2416	2452	2182	2779	2551
C12orf50	chr12	6	3	1	11	7	5	6	4	0	4	3	2	15	10	3	2
C12orf54	chr12	2	0	0	0	10	31	13	21	2	4	0	1	27	43	45	40
C12orf56	chr12	33	15	14	38	72	84	33	63	49	59	57	66	22	27	37	17
C12orf57	chr12	183	188	110	152	166	318	169	154	1323	628	278	475	826	1130	1221	627
C12orf60	chr12	257	177	198	287	136	119	98	71	282	334	408	467	144	129	177	137
C12orf65	chr12	1197	777	684	879	643	825	510	392	1862	2025	1709	2405	1241	1297	1499	1208
C12orf66	chr12	848	613	571	740	567	790	449	360	1038	1209	1110	1416	715	659	850	619
C12orf71	chr12	11	8	4	4	11	4	2	4	20	11	5	16	8	21	16	14
C12orf73	chr12	516	329	301	526	345	353	219	185	968	1343	1232	1637	959	838	1110	897
C12orf75	chr12	3631	2531	2068	2972	296	395	252	197	5281	7306	7382	8753	814	566	872	784
C12orf76	chr12	717	532	562	651	2406	2879	1738	1707	1247	1514	1406	1906	5865	5413	7097	5770
C14orf119	chr14	2399	1735	1362	1664	834	985	552	575	4943	6562	5884	7231	2158	2077	2681	2061
C14orf132	chr14	740	464	398	413	9526	12938	6941	6107	1334	1397	1062	1527	20950	21445	27546	19876
C14orf180	chr14	0	0	0	0	21	13	4	7	0	0	0	0	3	1	5	2
C14orf28	chr14	787	477	445	685	392	480	289	311	520	811	909	944	634	539	831	641
C14orf39	chr14	365	303	255	443	10	11	7	4	349	465	426	493	11	6	14	14
C14orf93	chr14	306	184	125	165	96	95	89	39	635	609	412	579	203	153	215	211
C15orf39	chr15	97	66	41	22	35	34	24	16	792	464	233	386	53	95	95	50
C15orf40	chr15	889	568	511	708	718	837	467	430	1277	1423	1392	1637	823	824	978	918
C15orf41	chr15	1396	945	751	1195	581	768	444	424	1161	1611	1329	1642	674	586	939	758
C15orf48	chr15	8	7	5	8	4	8	4	3	14	40	6	35	6	6	7	4
C15orf61	chr15	241	147	147	219	527	635	408	332	385	454	481	441	914	791	1087	872
C15orf62	chr15	41	25	25	18	153	150	100	57	45	49	26	49	122	137	203	116
C16orf46	chr16	67	50	42	24	126	172	106	108	74	78	80	84	143	187	260	122
C16orf54	chr16	65	49	30	33	12	4	2	2	78	72	42	120	6	14	18	6
C16orf70	chr16	1124	830	672	812	1077	1337	739	692	1766	2025	1601	2235	1884	1857	2492	1672
C16orf71	chr16	21	17	9	9	29	44	18	16	20	12	5	5	6	37	33	6
C16orf72	chr16	7291	4887	4578	6736	5067	6052	3637	3563	5859	7613	7865	8566	5249	4428	6398	4980
C16orf74	chr16	19	8	12	8	2	4	0	2	152	58	52	79	8	12	17	8
C16orf78	chr16	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0
C16orf82	chr16	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
C16orf86	chr16	2	2	0	0	15	40	19	12	43	15	4	28	111	118	134	98
C16orf87	chr16	2207	1556	1419	2236	1387	1563	1009	1043	1845	2550	2777	3225	1216	1059	1314	1253
C16orf89	chr16	2	1	1	0	3	34	15	9	9	4	5	13	43	75	58	30
C16orf90	chr16	0	0	0	0	0	2	0	1	0	0	0	0	0	2	0	0
C16orf91	chr16	180	127	81	97	82	129	66	38	552	454	460	580	252	335	492	352
C16orf92	chr16	2	0	4	6	14	15	9	14	7	0	12	0	47	38	34	33
C16orf95	chr16	57	34	24	21	57	77	48	25	162	144	161	180	63	63	135	64
C16orf96	chr16	7	6	4	0	22	34	9	13	10	7	2	3	21	26	24	14
C17orf100	chr17	129	95	77	118	171	196	138	131	278	423	362	421	450	445	623	468
C17orf107	chr17	1	3	1	2	56	82	45	29	32	9	7	6	102	123	182	99
C17orf49	chr17	7	4	0	1	37	60	28	15	88	61	35	85	62	105	128	68
C17orf50	chr17	2	0	0	0	3	5	0	1	0	1	0	2	1	2	6	2
C17orf58	chr17	971	615	638	765	347	439	281	243	1714	1932	1952	2339	1245	849	1235	1032
C17orf64	chr17	0	4	0	0	0	0	0	0	2	1	0	2	2	4	0	0
C17orf67	chr17	268	136	127	173	119	185	82	85	194	160	236	290	117	130	170	133
C17orf75	chr17	1420	905	860	1182	1238	1524	827	782	2053	2273	2420	3065	1590	1396	1993	1678
C17orf78	chr17	79	43	42	71	102	120	68	59	18	14	4	12	5	6	3	3
C17orf80	chr17	2542	1695	1396	2097	2064	2253	1430	1222	2923	3784	3310	4519	2618	2547	3387	2724
C17orf97	chr17	73	35	29	41	114	121	91	67	176	201	148	194	323	292	361	284
C17orf98	chr17	0	1	2	0	0	0	0	0	0	0	6	0	0	0	0	0
C17orf99	chr17	8	7	11	12	0	0	1	0	48	25	22	42	0	0	0	0
C18orf21	chr18	983	694	521	909	648	788	395	397	1432	1999	1889	2372	1137	953	1247	1094
C18orf25	chr18	3900	2874	2407	3208	4098	4943	3114	2914	3420	4648	4854	5612	4599	3899	5411	4435
C18orf32	chr18	2504	1968	1811	2987	5014	6027	3639	3405	3715	4922	5399	6278	13650	11454	15434	13903
C18orf54	chr18	2748	1969	1973	3100	526	608	427	377	1967	2919	3110	3360	741	680	948	812
C18orf63	chr18	1	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0
C19orf12	chr19	744	522	454	590	1437	1858	1172	987	1284	1567	1571	1556	3359	3101	4072	3099
C19orf18	chr19	19	21	15	27	54	49	30	16	21	24	40	26	34	29	61	32
C19orf25	chr19	15	14	2	7	47	69	29	25	269	104	57	49	159	227	267	107
C19orf38	chr19	0	3	2	1	2	19	12	11	22	33	8	10	34	25	24	16
C19orf44	chr19	168	134	90	80	136	198	115	101	246	233	179	215	208	252	371	167
C19orf47	chr19	38	17	13	18	76	111	51	56	258	122	51	133	116	179	159	83
C19orf53	chr19	138	114	44	26	154	263	98	96	1998	1120	597	1020	891	1327	1480	657
C19orf54	chr19	90	62	41	31	49	60	26	20	1190	1169	678	917	221	249	339	203
C19orf57	chr19	39	31	28	14	44	57	24	21	183	116	101	99	93	87	123	67
C19orf67	chr19	7	6	1	2	0	1	2	5	7	3	0	0	0	0	3	0
C19orf71	chr19	8	7	8	0	2	13	2	6	126	41	17	23	30	44	42	31
